pmcid,title,ground_truth_report,data_source,has_numeric_values,ai_generated_advice
PMC13333062,Prospective feasibility study of a telehealth platform for community-based NCD risk assessment by community health leaders in rural northern Thailand.,"PMC13333062 Case Report.
Title: Prospective feasibility study of a telehealth platform for community-based NCD risk assessment by community health leaders in rural northern Thailand.

Clinical Summary (from published abstract):
Limited access to preventive healthcare in rural and remote areas poses a persistent challenge for early identification of non-communicable disease (NCD) risk. We evaluated the feasibility and acceptability of HealthD, a telehealth-supported platform that enables Community Health Leaders (CHLs) to conduct community-based NCD risk assessment and facilitate follow-up in rural northern Thailand. We conducted a prospective, single-arm feasibility and acceptability study from June to November 2023 in Chiang Mai Province, Thailand. A total of 120 adults aged 30-70 years without a prior recorded diagnosis of the target NCDs were enrolled. Trained CHLs used HealthD to perform community-based assessment for diabetes mellitus (DM), cardiovascular disease (CVD), and respiratory symptom/functional limitation screening using guideline-informed algorithms and field-based measures, followed by risk-tailored counseling or teleconsultation at two- and four-month follow-up. Feasibility was assessed through recruitment, retention, CHL competency, workflow delivery, and acceptability among CHLs and participants. Of 126 individuals approached, 120 were enrolled (recruitment rate 95.2%), and 119 completed follow-up (retention rate 99.2%). CHL competency improved after training, with mean assessment scores increasing from 8.4 to 9.3 (p= 0.010). Acceptability was high among CHLs (92%) and participants (97%). The HealthD workflow, including in-person assessment, point-of-care testing, digital data entry, algorithm-based risk-output generation, and teleconsultation follow-up, was implemented in the study setting. NCD-related risk outputs are presented as descriptive, exploratory findings. At baseline, 73% of participants were classified for DM-related risk, 3% for CVD-related risk, and 9% for respiratory symptom/functional limitation category. Across follow-up visits, DM-related risk categories changed, whereas CVD- and respiratory symptom/functional limitation categories remained relatively stable. This prospective study suggests that HealthD is feasible and acceptable for CHL-led, telehealth-supported community-based NCD risk assessment and follow-up in a rural Thai setting. These findings are preliminary and are intended to inform workflow refinement and the design of larger studies evaluating effectiveness, implementation outcomes, and sustainability.",abstract,True,
PMC13333081,Splenic Rupture: A Delayed and Rare Complication of Colonoscopy.,"PMC13333081 Case Report.
Title: Splenic Rupture: A Delayed and Rare Complication of Colonoscopy.

Clinical Summary (from published abstract):
Splenic rupture is an extremely rare but significant complication of colonoscopy with a high mortality rate. Most patients present within 24 to 48 hours post-procedure with abdominal pain, hypotension, and/or syncope. This case report highlights the rare case of a patient presenting nine days post-procedure with splenic rupture. This case highlights the importance of having a high index of suspicion for splenic rupture for up to two weeks after colonoscopy, as a delay in diagnosis can cause rapid clinical deterioration and death. Early diagnosis of splenic rupture can be achieved with CT of the abdomen, which remains the gold standard. Patients should also be made aware of this potentially delayed complication and be advised to monitor for significant abdominal pain for up to two weeks after colonoscopy to ensure prompt management.",abstract,False,
PMC13333120,Super-refractory Status Epilepticus in Febrile Infection-Related Epilepsy Syndrome Triggered by Influenza A: A Pediatric Case Report.,"PMC13333120 Case Report.
Title: Super-refractory Status Epilepticus in Febrile Infection-Related Epilepsy Syndrome Triggered by Influenza A: A Pediatric Case Report.

Clinical Summary (from published abstract):
Febrile infection-related epilepsy syndrome (FIRES) is a rare cause of new-onset refractory status epilepticus following a febrile illness. We report the case of a previously healthy three-year-old boy who developed focal seizures in the context of a confirmed Influenza A infection, rapidly progressing to super-refractory status epilepticus. Initial investigations, including cerebrospinal fluid analysis and neuroimaging, were unremarkable. Despite early multimodal therapy with multiple antiseizure medications, continuous anesthetic infusions, immunomodulatory treatments, and a ketogenic diet, seizure control remained transient. Continuous EEG confirmed persistent super-refractory status epilepticus, while cytokine analysis demonstrated elevated interleukin-6 and interleukin-8 levels. Follow-up MRI showed bilateral claustrum and hippocampal involvement, later progressing to diffuse cerebral atrophy. Despite escalation of therapy, including intrathecal corticosteroids and vagal nerve stimulation, the patient showed no sustained improvement. Care was ultimately redirected toward palliation, and the patient died after 50 days of intensive care. This case highlights the fulminant and refractory nature of FIRES, supports a potential role of cytokine-driven neuroinflammation, and suggests a possible association with a preceding viral infection.",abstract,False,
PMC13333250,Giant Hemangiomatous Adrenal Cyst Mimicking a Hemorrhagic Hepatic Cyst: A Case Report.,"PMC13333250 Case Report.
Title: Giant Hemangiomatous Adrenal Cyst Mimicking a Hemorrhagic Hepatic Cyst: A Case Report.

Clinical Summary (from published abstract):
Adrenal hemangiomatous cysts are rare. Giant cysts of the right adrenal gland may be difficult to distinguish from hepatic cysts owing to their close anatomical proximity to the liver. Here, we report a case of a hemangiomatous adrenal cyst mimicking a hemorrhagic hepatic cyst. A 48-year-old woman presented with a 10-day history of abdominal pain and distention. The laboratory findings revealed marked inflammation and severe anemia. Contrast-enhanced CT demonstrated a 28-cm cystic lesion extending from the right hepatic lobe, with peripheral calcification and intralesional high-attenuation areas suggestive of a hemorrhage. A hemorrhagic hepatic cyst was initially suspected and percutaneous drainage was performed. However, the drained fluid became increasingly hemorrhagic, and anemia progressed despite repeated transfusions, indicating ongoing intracystic bleeding; therefore, exploratory laparotomy was undertaken. En bloc resection of the cyst, hepatic segment VI, and the right adrenal gland was performed. Histopathological examination revealed dilated vascular channels lined with endothelial cells that were CD34-positive and D2-40-negative and were contiguous with the adrenal cortex, confirming the diagnosis of a hemangiomatous adrenal cyst. The postoperative course was uneventful, and no recurrence was observed at 6-month follow-up. Here, we report a rare case of a giant hemangiomatous adrenal cyst. Because large right adrenal cysts may be difficult to distinguish from hepatic cysts owing to their anatomical proximity, adrenal cysts should be considered in the differential diagnosis of large upper abdominal cystic lesions.",abstract,False,
PMC13333211,A Case of Pancreatic Cancer with High Tumor Mutation Burden Showing a Remarkable Response to Pembrolizumab.,"PMC13333211 Case Report.
Title: A Case of Pancreatic Cancer with High Tumor Mutation Burden Showing a Remarkable Response to Pembrolizumab.

Clinical Summary (from published abstract):
Pancreatic cancer (PC) is an aggressive malignancy with limited therapeutic options and generally poor responsiveness to immune checkpoint inhibitors (ICIs). Microsatellite instability–high (MSI-High) and tumor mutation burden–high (TMB-High) phenotypes are rare, each occurring in approximately 1% of PC cases, but may predict improved response to ICIs. We report a case of recurrent PC harboring both MSI-High and markedly elevated TMB, in which pembrolizumab achieved an exceptional and durable response. A 72-year-old man presented with appetite loss, and contrast-enhanced CT revealed a large pancreatic tail tumor invading the stomach, colon, spleen, and left kidney. Fine-needle biopsy confirmed adenocarcinoma. Despite initial modified FOLFIRINOX therapy showing progressive disease, subsequent gemcitabine plus nab-paclitaxel achieved partial response (PR). However, gastrointestinal bleeding due to gastric invasion necessitated surgery. The patient underwent extensive resection, including distal pancreatectomy with splenectomy, total gastrectomy, partial colectomy, nephrectomy, adrenalectomy, and portal vein resection and reconstruction using the left renal vein. Pathology demonstrated well-differentiated ductal adenocarcinoma with multiorgan invasion and portal vein tumor thrombus (ypT3N1M0, Stage IIB, Evans Grade IIb). Although adjuvant chemotherapy was considered, it could not be initiated because of persistent postoperative diarrhea and delayed recovery of the patient’s general condition. Four months after surgery, recurrence was detected in the para-aortic lymph nodes, with suspected peritoneal dissemination causing right hydronephrosis, accompanied by elevated carbohydrate antigen 19-9 (CA19-9). Comprehensive genomic profiling using the surgically resected tumor specimen revealed MSI-High status and extremely high TMB (75 mutations/Mb), and genomic alterations in MSH2, MSH3, KRAS, TP53, ARID1A, ATR, and SMAD2. Pembrolizumab was initiated, leading to rapid normalization of CA19-9 and continuous tumor shrinkage. The best overall response was classified as PR, and this PR has been maintained. At 26 months after surgery, the patient remains on pembrolizumab with sustained clinical benefit and no significant immune-related adverse events. This case highlights the potential for exceptional and durable response to pembrolizumab in PC characterized by concurrent MSI-High and markedly elevated TMB. Given the rarity of these biomarkers and the typically poor prognosis of PCs, early genomic profiling may facilitate personalized treatment strategies and improve outcomes in selected patients.",abstract,True,
PMC13333122,Medication-Related Osteonecrosis of the Jaw in a Patient With Prostate Cancer: A Case Presentation With a One-Month Follow-Up.,"PMC13333122 Case Report.
Title: Medication-Related Osteonecrosis of the Jaw in a Patient With Prostate Cancer: A Case Presentation With a One-Month Follow-Up.

Clinical Summary (from published abstract):
Medication-related osteonecrosis of the jaw (MRONJ) is an adverse event that most commonly occurs in patients undergoing bisphosphonate therapy and remains a significant challenge for dentists. Its clinical presentation varies according to the stages of the disease, depending on clinical and radiological findings. We report the case of an 81-year-old man presenting with a cutaneous fistula and purulent drainage from the lower right side of the mandible. The patient was under chemotherapy and receiving zoledronic acid treatment, administered as an intravenous injection every six months for 10 years. Oral manifestations of MRONJ can present with diverse lesions requiring careful clinical evaluation, accurate diagnosis, and appropriate management.",abstract,False,
PMC13333224,Abiraterone-Induced Hypokalemia and Hypophosphatemia: A Case Report.,"PMC13333224 Case Report.
Title: Abiraterone-Induced Hypokalemia and Hypophosphatemia: A Case Report.

Clinical Summary (from published abstract):
Abiraterone acetate is a commonly used androgen biosynthesis inhibitor in the management of advanced prostate cancer and is associated with mineralocorticoid excess due to CYP17 inhibition. This can result in electrolyte abnormalities, most notably hypokalemia, which may be severe and refractory to standard replacement therapy. We present the case of an 82-year-old male with metastatic prostate cancer on abiraterone therapy who was admitted with altered mental status, hyponatremia, and acute kidney injury in the setting of poor oral intake. Despite appropriate volume resuscitation and electrolyte replacement, the patient developed persistent hypokalemia and hypophosphatemia with evidence of renal potassium wasting. Given the clinical context, abiraterone-induced mineralocorticoid excess was suspected. As discontinuation of abiraterone was not feasible, treatment with the mineralocorticoid receptor antagonist spironolactone was initiated, resulting in sustained correction of electrolyte abnormalities. This case highlights the need to consider abiraterone-induced mineralocorticoid excess in patients with refractory hypokalemia, particularly when renal potassium wasting persists after correction of volume status and kidney function. Early recognition may prevent prolonged hospitalization, treatment delays, and serious complications. When abiraterone must be continued, mineralocorticoid receptor antagonists can provide targeted therapy while preserving cancer treatment. This case also emphasizes the importance of routine electrolyte monitoring in patients receiving abiraterone, even when they are prescribed concurrent prednisone.",abstract,False,
PMC13332853,Biphasic Clinical Course Revealing Lemierre's Syndrome Following Acute Pharyngotonsillitis: A Case Report.,"PMC13332853 Case Report.
Title: Biphasic Clinical Course Revealing Lemierre's Syndrome Following Acute Pharyngotonsillitis: A Case Report.

Clinical Summary (from published abstract):
Lemierre's syndrome is a life-threatening septic thrombophlebitis that typically follows an oropharyngeal infection and is most commonly caused by Fusobacterium necrophorum (F. necrophorum). We report a case of a previously healthy woman in her 20s who developed septic shock and acute kidney injury after a recurrent episode of acute pharyngotonsillitis. She was initially treated at a local clinic with a short course of oral third-generation cephalosporin for presumed group A streptococcal pharyngotonsillitis, resulting in temporary clinical improvement. However, she subsequently experienced a recurrence of fever and sore throat, necessitating emergency hospitalization. She was treated immediately with intensive intravenous ampicillin/sulbactam and vasopressor support. A contrast-enhanced CT several days later demonstrated septic pulmonary emboli, and blood cultures subsequently yielded F. necrophorum. Although internal jugular vein (IJV) thrombosis was not evident, a diagnosis of Lemierre's syndrome was established based on antecedent pharyngotonsillitis, F. necrophorum bacteremia, and metastatic septic emboli. This report suggests that short-course oral cephalosporin therapy for presumed group A streptococcal pharyngotonsillitis does not necessarily prevent the subsequent development of invasive F. necrophorum infection. It may also delay the recognition of Lemierre's syndrome.",abstract,False,
PMC13333198,Urinary Tract Infection Caused by Burkholderia cenocepacia in a Newborn: A Case Report.,"PMC13333198 Case Report.
Title: Urinary Tract Infection Caused by Burkholderia cenocepacia in a Newborn: A Case Report.

Clinical Summary (from published abstract):
Burkholderia cenocepacia (B. cenocepacia) is a strictly aerobic, nonfermenting, Gram-negative bacillus belonging to the Burkholderia cepacia complex. It is the most virulent and pathogenic species within this group. It poses a therapeutic challenge due to its intrinsic resistance to several commonly used antibiotics and the emergence of acquired resistance. It mainly causes respiratory infections in immunocompromised patients, particularly those with cystic fibrosis. We report a rare case of urinary tract infection caused by B. cenocepacia in a neonate admitted to the neonatal intensive care unit for respiratory distress. Cytobacteriological examination of urine identified B. cenocepacia, with identification confirmed by MALDI-TOF (matrix-assisted laser desorption ionization-time-of-flight mass spectrometry). The isolate was susceptible only to sulfamethoxazole-trimethoprim. The clinical course was marked by the patient’s death before the initiation of targeted antibiotic therapy.",abstract,False,
PMC13333099,Infant Botulism in Costa Rica: A Case Report Featuring Electrodiagnostic Studies.,"PMC13333099 Case Report.
Title: Infant Botulism in Costa Rica: A Case Report Featuring Electrodiagnostic Studies.

Clinical Summary (from published abstract):
Infant botulism (IB) is a life-threatening neuroparalytic condition caused by a neurotoxin produced by Clostridium botulinum (C. botulinum). We present the case of a four-month-old Costa Rican female who was hospitalized with poor sucking, feeding difficulties, constipation, hypotonia, and respiratory failure. Clinical history, physical examination findings, and electrodiagnostic studies strongly suggested IB. Although clinical suspicion primarily depends on a thorough history and physical examination, confirmatory tests can take considerable time to yield results. Electrodiagnostic studies may facilitate an earlier diagnosis and prompt initiation of treatment. Additionally, although this is only the second reported case in Costa Rica, it is the first in which electrodiagnostic studies were performed locally to support the diagnosis.",abstract,False,
